"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8935","@smoke @regression Page object model client APP fixtureDataSet","","2026-04-04","passed","2026-04-04","","clientAppPO.spec.js","",""
"","10432","@smoke Page object model client APP","","2026-04-04","passed","2026-04-04","end to end test case for client app","clientAppPO.spec.js","",""
